id,subject,file_path,line_number,content
34020,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/target/surefire-reports/org.apache.hadoop.yarn.TestContainerResourceIncreaseRPC-output.txt,9,"2021-01-27 17:15:04,568 INFO  [Listener at localhost/39437] yarn.TestContainerResourceIncreaseRPC (TestContainerResourceIncreaseRPC.java:testRPCTimeout(124)) - java.net.SocketTimeoutException: Call From sense02.encs.concordia.ca/192.168.165.202 to localhost:39437 failed on socket timeout exception: java.net.SocketTimeoutException: 3000 millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected local=/127.0.0.1:33016 remote=/127.0.0.1:39437]; For more details see:  http://wiki.apache.org/hadoop/SocketTimeout"
626287,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-server/target/surefire-reports/org.apache.hadoop.hbase.util.TestRegionSplitCalculator-output.txt,97,"2021-03-01 22:30:21,444 INFO  [Time-limited test] util.TestRegionSplitCalculator(289): 91c2b751-e02a-ed50-572a-616c4ec62420 - 94c41cbd-e327-6862-bfa0-23d16b86fc5e"
57833,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.fs.TestUnbuffer-output.txt,1707,"2021-01-27 10:57:03,126 [Listener at localhost/40265] INFO  fs.TestUnbuffer (TestUnbuffer.java:testOpenManyFilesViaTcp(119)) - opening file 498..."
20501,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/target/surefire-reports/org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.TestContainersMonitor-output.txt,383,"2021-01-27 17:36:56,068 INFO  [NM ContainerManager dispatcher] monitor.TestContainersMonitor (BaseContainerManagerTest.java:delete(303)) - Psuedo delete: user - nobody, type - FILE"
1586,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.usecases.ConsumeTopicPrefetchTest-output.txt,28,"2020-12-10 18:16:49,959 [main           ] - INFO  ConsumeTopicPrefetchTest       - inflight for : org.apache.activemq.usecases.ConsumeTopicPrefetchTest.testSendDoublePrefetchSize: 100"
83330,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.server.namenode.TestQuotaByStorageType-output.txt,7389,"2021-01-27 13:43:59,576 [Time-limited test] INFO  namenode.TestQuotaByStorageType (TestQuotaByStorageType.java:testQuotaByStorageTypeExceptionWithFileCreate(307)) - Got expected exception "
37126,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/target/surefire-reports/org.apache.hadoop.mapreduce.v2.app.TestMRAppMaster-output.txt,11378,"2021-01-27 20:35:56,036 INFO  [Listener at 0.0.0.0/36029] app.TestMRAppMaster (TestMRAppMaster.java:testMRAppMasterFailLock(297)) - Caught expected Exception"
637700,zookeeper-master,/Users/holen/DegreeProject/mstracker-RQ3/zookeeper-master/zookeeper-server/target/surefire-reports/org.apache.zookeeper.test.LoadFromLogTest-output.txt,725,"2021-03-02 00:32:13,579 [myid:] - INFO  [main:LoadFromLogTest@84] - Txnlog size: 819328 bytes"
626192,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-server/target/surefire-reports/org.apache.hadoop.hbase.io.hfile.TestFixedFileTrailer-output.txt,74,"2021-03-01 22:23:51,721 INFO  [Time-limited test] hfile.TestFixedFileTrailer(218): Got an expected exception: Invalid HFile version: 1 (expected to be between 2 and 3)"
634782,tomcat-master,/Users/holen/DegreeProject/mstracker-RQ3/tomcat-master/output/build/logs/TEST-org.apache.catalina.tribes.group.interceptors.TestNonBlockingCoordinator.APR.txt,655,"Mar 03, 2021 1:18:04 AM org.apache.catalina.tribes.group.interceptors.TestNonBlockingCoordinator setUp"
